site,location,group,square,canopy,nets,plots,species,girth
S13,L1,G2,5,70%,1 Net,1 plot,Acacia caesia,0.1
S13,L1,G2,15,50%,,,Acacia caesia,0.2
S13,L1,G2,2,45%,,1 plot,Actinodaphne bourdillonii,6
S13,L1,G2,15,50%,,,Actinodaphne bourdillonii,2
S19,L1,G2,2,75%,1 Net,2 Plots,Actinodaphne bourdillonii,0.6
S19,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.8
S19,L1,G2,5,65%,,,Actinodaphne bourdillonii,1.2
S19,L1,G2,6,70%,,,Actinodaphne bourdillonii,0.6
S19,L1,G2,6,70%,,,Actinodaphne bourdillonii,2
S19,L1,G2,8,50%,,,Actinodaphne bourdillonii,1.5
S19,L1,G2,9,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,1.5
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,1.5
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.6
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.9
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.3
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.3
S18,L1,G2,5,55%,,0.5 Plot,Actinodaphne bourdillonii,0.4
S18,L1,G2,5,55%,,0.5 Plot,Actinodaphne bourdillonii,0.4
S18,L1,G2,5,55%,,0.5 Plot,Actinodaphne bourdillonii,0.4
S18,L1,G2,6,55%,1 Net,4 Plots,Actinodaphne bourdillonii,0.3
S18,L1,G2,6,55%,1 Net,4 Plots,Actinodaphne bourdillonii,0.5
S18,L1,G2,6,55%,1 Net,4 Plots,Actinodaphne bourdillonii,0.8
S18,L1,G2,6,55%,1 Net,4 Plots,Actinodaphne bourdillonii,24
S18,L1,G2,6,55%,1 Net,4 Plots,Actinodaphne bourdillonii,0.4
S18,L1,G2,7,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,7,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,8,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,8,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,8,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,8,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,9,60%,,,Actinodaphne bourdillonii,1
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.3
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.3
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,10,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,11,55%,1 Net,,Actinodaphne bourdillonii,0.4
S18,L1,G2,11,55%,1 Net,,Actinodaphne bourdillonii,0.4
S18,L1,G2,11,55%,1 Net,,Actinodaphne bourdillonii,0.6
S18,L1,G2,11,55%,1 Net,,Actinodaphne bourdillonii,1.2
S18,L1,G2,11,55%,1 Net,,Actinodaphne bourdillonii,0.4
S18,L1,G2,11,55%,1 Net,,Actinodaphne bourdillonii,0.4
S18,L1,G2,11,55%,1 Net,,Actinodaphne bourdillonii,0.4
S18,L1,G2,12,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,12,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,12,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,12,55%,,,Actinodaphne bourdillonii,0.3
S18,L1,G2,12,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,12,55%,,,Actinodaphne bourdillonii,4.8
S18,L1,G2,12,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,13,57%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,13,57%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,13,57%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,13,57%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,13,57%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,14,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,14,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,15,60%,,,Actinodaphne bourdillonii,35
S18,L1,G2,15,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,15,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,15,60%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,15,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,15,60%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,15,60%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,16,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,16,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,16,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,16,65%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,16,65%,,,Actinodaphne bourdillonii,0.4
S12,L2,G3,1,75%,1 Net,,Actinodaphne bourdillonii,1.2
S12,L2,G3,1,75%,1 Net,,Actinodaphne bourdillonii,1.5
S12,L2,G3,2,75%,,,Actinodaphne bourdillonii,1.2
S12,L2,G3,2,75%,,,Actinodaphne bourdillonii,32
S12,L2,G3,3,70%,,,Actinodaphne bourdillonii,0.5
S12,L2,G3,3,70%,,,Actinodaphne bourdillonii,2
S12,L2,G3,5,77%,,,Actinodaphne bourdillonii,0.6
S12,L2,G3,7,70%,,,Actinodaphne bourdillonii,2
S12,L2,G3,7,70%,,,Actinodaphne bourdillonii,0.5
S12,L2,G3,8,80%,,,Actinodaphne bourdillonii,3
S12,L2,G3,8,80%,,,Actinodaphne bourdillonii,0.4
S12,L2,G3,8,80%,,,Actinodaphne bourdillonii,1.5
S12,L2,G3,9,75%,,,Actinodaphne bourdillonii,8
S12,L2,G3,9,75%,,,Actinodaphne bourdillonii,20
S12,L2,G3,10,70%,,,Actinodaphne bourdillonii,0.7
S12,L2,G3,12,78%,1 Net,,Actinodaphne bourdillonii,0.9
S12,L2,G3,14,75%,,,Actinodaphne bourdillonii,1.3
S12,L2,G3,14,75%,,,Actinodaphne bourdillonii,1.1
S12,L2,G3,14,75%,,,Actinodaphne bourdillonii,1.2
S12,L2,G3,15,80%,,,Actinodaphne bourdillonii,1.2
S12,L2,G3,15,80%,,,Actinodaphne bourdillonii,1.1
S12,L2,G3,15,80%,,,Actinodaphne bourdillonii,1.2
S12,L2,G3,16,78%,,,Actinodaphne bourdillonii,1.2
S12,L2,G3,16,78%,,,Actinodaphne bourdillonii,12
S3,L1,G2,1,60%,,,Actinodaphne bourdillonii,0.4
S3,L1,G2,1,60%,,,Actinodaphne bourdillonii,3.5
S3,L1,G2,1,60%,,,Actinodaphne bourdillonii,0.6
S3,L1,G2,1,60%,,,Actinodaphne bourdillonii,0.6
S3,L1,G2,2,78%,,,Actinodaphne bourdillonii,0.4
S3,L1,G2,2,78%,,,Actinodaphne bourdillonii,0.5
S3,L1,G2,2,78%,,,Actinodaphne bourdillonii,0.5
S3,L1,G2,3,60%,,,Actinodaphne bourdillonii,1.2
S3,L1,G2,3,60%,,,Actinodaphne bourdillonii,6
S3,L1,G2,13,68%,,,Actinodaphne bourdillonii,9
S3,L1,G2,14,80%,,,Actinodaphne bourdillonii,12
S3,L1,G2,15,70%,,,Actinodaphne bourdillonii,9
S3,L1,G2,16,80%,,,Actinodaphne bourdillonii,26
S3,L1,G2,16,80%,,,Actinodaphne bourdillonii,7
S2,L1,G2,13,65%,,,Actinodaphne bourdillonii,3.5
S5,L2,G2,5,78%,,,Actinodaphne bourdillonii,9
S5,L2,G2,9,80%,,,Actinodaphne bourdillonii,18
S5,L2,G2,9,80%,,,Actinodaphne bourdillonii,4.5
S5,L2,G2,15,67%,,,Actinodaphne bourdillonii,10
S8,L1,G2,3,60%,,,Actinodaphne bourdillonii,25
S8,L1,G2,3,60%,,,Actinodaphne bourdillonii,1.2
S8,L1,G2,12,80%,,,Actinodaphne bourdillonii,4
S3,L1,G2,3,60%,,,Actinodaphne sp.,3
S3,L1,G2,3,60%,,,Actinodaphne sp.,1.1
S3,L1,G2,3,60%,,,Actinodaphne sp.,4
S3,L1,G2,3,60%,,,Actinodaphne sp.,0.4
S3,L1,G2,4,75%,,,Actinodaphne sp.,8
S3,L1,G2,4,75%,,,Actinodaphne sp.,3
S3,L1,G2,8,60%,,,Actinodaphne sp.,1.3
S3,L1,G2,9,75%,,,Actinodaphne sp.,1.2
S8,L1,G2,5,65%,,,Actinodaphne sp.,0.5
S8,L1,G2,8,55%,,,Actinodaphne sp.,1.2
S13,L1,G2,9,40%,,,Aglaia barberi,2
S13,L1,G2,9,40%,,,Aglaia barberi,2.5
S13,L1,G2,12,60%,,,Aglaia barberi,1.2
S19,L1,G2,5,65%,,,Aglaia barberi,2.5
S19,L1,G2,9,70%,,,Aglaia barberi,4
S18,L1,G2,10,65%,,,Aglaia barberi,1.3
S12,L2,G3,2,75%,,,Aglaia barberi,1.2
S12,L2,G3,2,75%,,,Aglaia barberi,15
S12,L2,G3,3,70%,,,Aglaia barberi,2
S12,L2,G3,4,75%,,,Aglaia barberi,1.1
S12,L2,G3,4,75%,,,Aglaia barberi,1.1
S12,L2,G3,5,77%,,,Aglaia barberi,15
S12,L2,G3,11,85%,,,Aglaia barberi,5
S12,L2,G3,11,85%,,,Aglaia barberi,2
S12,L2,G3,11,85%,,,Aglaia barberi,4
S12,L2,G3,12,78%,1 Net,,Aglaia barberi,3
S3,L1,G2,3,60%,,,Aglaia barberi,14
S3,L1,G2,5,65%,,,Aglaia barberi,7
S3,L1,G2,13,68%,,,Aglaia barberi,32
S3,L1,G2,13,68%,,,Aglaia barberi,15
S3,L1,G2,15,70%,,,Aglaia barberi,29
S2,L1,G2,9,80%,,,Aglaia barberi,5
S2,L1,G2,12,60%,,,Aglaia barberi,6
S5,L2,G2,2,75%,,,Aglaia barberi,2
S5,L2,G2,2,75%,,,Aglaia barberi,2
S5,L2,G2,4,80%,,,Aglaia barberi,1.5
S5,L2,G2,7,80%,,,Aglaia barberi,1.5
S5,L2,G2,7,80%,,,Aglaia barberi,1.6
S5,L2,G2,16,75%,,,Aglaia barberi,1.2
S5,L2,G2,16,75%,,,Aglaia barberi,0.5
S8,L1,G2,13,85%,,,Aglaia barberi,1.2
S13,L1,G2,9,40%,,,Aglaia eleagnoidea,3
S13,L1,G2,9,40%,,,Aglaia eleagnoidea,2
S13,L1,G2,9,40%,,,Aglaia eleagnoidea,1.6
S13,L1,G2,9,40%,,,Aglaia eleagnoidea,1.6
S13,L1,G2,14,40%,,,Aglaia eleagnoidea,0.4
S13,L1,G2,16,50%,,,Aglaia eleagnoidea,1.5
S19,L1,G2,4,70%,,,Aglaia eleagnoidea,3
S19,L1,G2,4,70%,,,Aglaia eleagnoidea,0.5
S19,L1,G2,5,65%,,,Aglaia eleagnoidea,1.3
S19,L1,G2,5,65%,,,Aglaia eleagnoidea,0.6
S19,L1,G2,5,65%,,,Aglaia eleagnoidea,1.1
S19,L1,G2,5,65%,,,Aglaia eleagnoidea,0.9
S19,L1,G2,15,75%,,,Aglaia eleagnoidea,1.3
S19,L1,G2,15,75%,,,Aglaia eleagnoidea,1.1
S19,L1,G2,16,70%,,,Aglaia eleagnoidea,2
S18,L1,G2,13,57%,,,Aglaia eleagnoidea,0.8
S18,L1,G2,13,57%,,,Aglaia eleagnoidea,0.8
S18,L1,G2,15,60%,,,Aglaia eleagnoidea,0.5
S18,L1,G2,15,60%,,,Aglaia eleagnoidea,1
S18,L1,G2,16,65%,,,Aglaia eleagnoidea,1.2
S18,L1,G2,16,65%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,3,70%,,,Aglaia eleagnoidea,4
S12,L2,G3,3,70%,,,Aglaia eleagnoidea,2.5
S12,L2,G3,3,70%,,,Aglaia eleagnoidea,10
S12,L2,G3,4,75%,,,Aglaia eleagnoidea,0.7
S12,L2,G3,4,75%,,,Aglaia eleagnoidea,3
S12,L2,G3,4,75%,,,Aglaia eleagnoidea,3
S12,L2,G3,5,77%,,,Aglaia eleagnoidea,0.7
S12,L2,G3,5,77%,,,Aglaia eleagnoidea,1.1
S12,L2,G3,6,70%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,6,70%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,6,70%,,,Aglaia eleagnoidea,2
S12,L2,G3,6,70%,,,Aglaia eleagnoidea,2
S12,L2,G3,6,70%,,,Aglaia eleagnoidea,3
S12,L2,G3,6,70%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,7,70%,,,Aglaia eleagnoidea,0.5
S12,L2,G3,7,70%,,,Aglaia eleagnoidea,2
S12,L2,G3,11,85%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,11,85%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,11,85%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,11,85%,,,Aglaia eleagnoidea,2
S12,L2,G3,11,85%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,11,85%,,,Aglaia eleagnoidea,1.2
S12,L2,G3,13,70%,,,Aglaia eleagnoidea,9
S12,L2,G3,13,70%,,,Aglaia eleagnoidea,1.5
S12,L2,G3,13,70%,,,Aglaia eleagnoidea,7
S12,L2,G3,13,70%,,,Aglaia eleagnoidea,3
S12,L2,G3,14,75%,,,Aglaia eleagnoidea,0.5
S12,L2,G3,14,75%,,,Aglaia eleagnoidea,5
S12,L2,G3,16,78%,,,Aglaia eleagnoidea,2
S12,L2,G3,16,78%,,,Aglaia eleagnoidea,9
S2,L1,G2,7,69%,,,Aglaia eleagnoidea,0.6
S5,L2,G2,1,60%,,,Aglaia eleagnoidea,20
S5,L2,G2,1,60%,,,Aglaia eleagnoidea,2.5
S5,L2,G2,3,68%,,,Aglaia eleagnoidea,0.9
S5,L2,G2,9,80%,,,Aglaia eleagnoidea,7
S5,L2,G2,10,69%,,,Aglaia eleagnoidea,5
S5,L2,G2,10,69%,,,Aglaia eleagnoidea,7
S5,L2,G2,10,69%,,,Aglaia eleagnoidea,7
S5,L2,G2,10,69%,,,Aglaia eleagnoidea,13
S13,L1,G2,1,60%,,,Agrostistachis indica,5
S13,L1,G2,1,60%,,,Agrostistachis indica,6
S13,L1,G2,1,60%,,,Agrostistachis indica,5
S13,L1,G2,1,60%,,,Agrostistachis indica,4
S13,L1,G2,1,60%,,,Agrostistachis indica,4
S13,L1,G2,1,60%,,,Agrostistachis indica,3.5
S13,L1,G2,1,60%,,,Agrostistachis indica,3
S13,L1,G2,1,60%,,,Agrostistachis indica,3
S13,L1,G2,1,60%,,,Agrostistachis indica,5
S13,L1,G2,1,60%,,,Agrostistachis indica,5
S13,L1,G2,1,60%,,,Agrostistachis indica,5
S13,L1,G2,1,60%,,,Agrostistachis indica,3
S13,L1,G2,1,60%,,,Agrostistachis indica,5
S13,L1,G2,1,60%,,,Agrostistachis indica,3
S13,L1,G2,1,60%,,,Agrostistachis indica,6
S13,L1,G2,1,60%,,,Agrostistachis indica,3
S13,L1,G2,1,60%,,,Agrostistachis indica,0.5
S13,L1,G2,1,60%,,,Agrostistachis indica,3
S13,L1,G2,1,60%,,,Agrostistachis indica,1.5
S13,L1,G2,1,60%,,,Agrostistachis indica,0.5
S13,L1,G2,1,60%,,,Agrostistachis indica,5
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,2
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,1.5
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,2
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,1.5
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,5
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,4
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,3
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,2
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,6
S13,L1,G2,2,45%,,1 plot,Agrostistachis indica,1.5
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,7
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,1
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,4
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,1.5
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,0.6
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,1.5
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,1.5
S13,L1,G2,3,30%,1 Net,0.5 plot,Agrostistachis indica,4
S13,L1,G2,4,55%,,0.5 plot,Agrostistachis indica,4
S13,L1,G2,4,55%,,0.5 plot,Agrostistachis indica,5
S13,L1,G2,4,55%,,0.5 plot,Agrostistachis indica,6
S13,L1,G2,5,70%,1 Net,1 plot,Agrostistachis indica,2.5
S13,L1,G2,6,70%,1 Net,,Agrostistachis indica,4
S13,L1,G2,6,70%,1 Net,,Agrostistachis indica,3
S13,L1,G2,6,70%,1 Net,,Agrostistachis indica,3
S13,L1,G2,6,70%,1 Net,,Agrostistachis indica,3.5
S13,L1,G2,6,70%,1 Net,,Agrostistachis indica,9
S13,L1,G2,6,70%,1 Net,,Agrostistachis indica,3.5
S13,L1,G2,7,40%,,,Agrostistachis indica,4
S13,L1,G2,7,40%,,,Agrostistachis indica,4
S13,L1,G2,7,40%,,,Agrostistachis indica,3
S13,L1,G2,7,40%,,,Agrostistachis indica,2
S13,L1,G2,7,40%,,,Agrostistachis indica,3
S13,L1,G2,7,40%,,,Agrostistachis indica,3
S13,L1,G2,7,40%,,,Agrostistachis indica,1
S13,L1,G2,7,40%,,,Agrostistachis indica,4
S13,L1,G2,7,40%,,,Agrostistachis indica,5
S13,L1,G2,7,40%,,,Agrostistachis indica,9
S13,L1,G2,7,40%,,,Agrostistachis indica,2
S13,L1,G2,7,40%,,,Agrostistachis indica,6
S13,L1,G2,7,40%,,,Agrostistachis indica,1
S13,L1,G2,7,40%,,,Agrostistachis indica,1.5
S13,L1,G2,7,40%,,,Agrostistachis indica,1
S13,L1,G2,7,40%,,,Agrostistachis indica,0.5
S13,L1,G2,8,55%,,,Agrostistachis indica,6
S13,L1,G2,8,55%,,,Agrostistachis indica,3
S13,L1,G2,8,55%,,,Agrostistachis indica,3
S13,L1,G2,8,55%,,,Agrostistachis indica,2
S13,L1,G2,8,55%,,,Agrostistachis indica,6
S13,L1,G2,8,55%,,,Agrostistachis indica,3
S13,L1,G2,8,55%,,,Agrostistachis indica,2
S13,L1,G2,8,55%,,,Agrostistachis indica,0.7
S13,L1,G2,8,55%,,,Agrostistachis indica,0.5
S13,L1,G2,8,55%,,,Agrostistachis indica,1.5
S13,L1,G2,8,55%,,,Agrostistachis indica,0.5
S13,L1,G2,8,55%,,,Agrostistachis indica,4
S13,L1,G2,8,55%,,,Agrostistachis indica,3
S13,L1,G2,8,55%,,,Agrostistachis indica,4
S13,L1,G2,8,55%,,,Agrostistachis indica,4
S13,L1,G2,8,55%,,,Agrostistachis indica,3
S13,L1,G2,8,55%,,,Agrostistachis indica,3
S13,L1,G2,8,55%,,,Agrostistachis indica,2
S13,L1,G2,8,55%,,,Agrostistachis indica,4
S13,L1,G2,8,55%,,,Agrostistachis indica,2
S13,L1,G2,8,55%,,,Agrostistachis indica,2
S13,L1,G2,8,55%,,,Agrostistachis indica,1
S13,L1,G2,9,40%,,,Agrostistachis indica,4
S13,L1,G2,9,40%,,,Agrostistachis indica,5
S13,L1,G2,9,40%,,,Agrostistachis indica,7
S13,L1,G2,9,40%,,,Agrostistachis indica,8
S13,L1,G2,9,40%,,,Agrostistachis indica,3
S13,L1,G2,9,40%,,,Agrostistachis indica,2
S13,L1,G2,9,40%,,,Agrostistachis indica,2
S13,L1,G2,9,40%,,,Agrostistachis indica,2
S13,L1,G2,9,40%,,,Agrostistachis indica,2
S13,L1,G2,9,40%,,,Agrostistachis indica,2
S13,L1,G2,9,40%,,,Agrostistachis indica,2
S13,L1,G2,9,40%,,,Agrostistachis indica,5
S13,L1,G2,10,30%,,,Agrostistachis indica,5
S13,L1,G2,10,30%,,,Agrostistachis indica,7
S13,L1,G2,10,30%,,,Agrostistachis indica,2
S13,L1,G2,10,30%,,,Agrostistachis indica,2
S13,L1,G2,10,30%,,,Agrostistachis indica,1.5
S13,L1,G2,10,30%,,,Agrostistachis indica,1.5
S13,L1,G2,10,30%,,,Agrostistachis indica,2.5
S13,L1,G2,10,30%,,,Agrostistachis indica,3
S13,L1,G2,10,30%,,,Agrostistachis indica,1.5
S13,L1,G2,10,30%,,,Agrostistachis indica,1.5
S13,L1,G2,10,30%,,,Agrostistachis indica,3
S13,L1,G2,11,50%,,,Agrostistachis indica,4
S13,L1,G2,11,50%,,,Agrostistachis indica,3
S13,L1,G2,12,60%,,,Agrostistachis indica,1.3
S13,L1,G2,12,60%,,,Agrostistachis indica,4
S13,L1,G2,12,60%,,,Agrostistachis indica,5
S13,L1,G2,12,60%,,,Agrostistachis indica,3
S13,L1,G2,12,60%,,,Agrostistachis indica,2
S13,L1,G2,12,60%,,,Agrostistachis indica,2
S13,L1,G2,13,50%,,,Agrostistachis indica,2
S13,L1,G2,14,40%,,,Agrostistachis indica,4
S13,L1,G2,14,40%,,,Agrostistachis indica,4.5
S13,L1,G2,14,40%,,,Agrostistachis indica,8
S13,L1,G2,14,40%,,,Agrostistachis indica,2
S13,L1,G2,14,40%,,,Agrostistachis indica,2
S13,L1,G2,14,40%,,,Agrostistachis indica,2
S13,L1,G2,14,40%,,,Agrostistachis indica,5
S13,L1,G2,14,40%,,,Agrostistachis indica,4
S13,L1,G2,14,40%,,,Agrostistachis indica,4
S13,L1,G2,14,40%,,,Agrostistachis indica,2
S13,L1,G2,14,40%,,,Agrostistachis indica,2
S13,L1,G2,14,40%,,,Agrostistachis indica,3
S13,L1,G2,14,40%,,,Agrostistachis indica,4
S13,L1,G2,14,40%,,,Agrostistachis indica,5
S13,L1,G2,14,40%,,,Agrostistachis indica,2
S13,L1,G2,14,40%,,,Agrostistachis indica,2
S13,L1,G2,15,50%,,,Agrostistachis indica,2
S13,L1,G2,15,50%,,,Agrostistachis indica,3
S13,L1,G2,15,50%,,,Agrostistachis indica,5
S13,L1,G2,16,50%,,,Agrostistachis indica,4
S13,L1,G2,16,50%,,,Agrostistachis indica,4
S19,L1,G2,1,70%,,,Agrostistachis indica,3
S19,L1,G2,4,70%,,,Agrostistachis indica,4
S19,L1,G2,12,60%,,,Agrostistachis indica,2.4
S19,L1,G2,12,60%,,,Allophylus cobbe,0.3
S18,L1,G2,1,55%,,,Allophylus cobbe,0.3
S18,L1,G2,1,55%,,,Allophylus cobbe,0.4
S18,L1,G2,1,55%,,,Allophylus cobbe,0.5
S18,L1,G2,6,55%,1 Net,4 Plots,Allophylus cobbe,0.4
S2,L1,G2,8,80%,,,Allophylus cobbe,6
S2,L1,G2,13,65%,,,Allophylus cobbe,6
S2,L1,G2,14,70%,,,Allophylus cobbe,6
S2,L1,G2,14,70%,,,Allophylus cobbe,6
S2,L1,G2,15,75%,,,Allophylus cobbe,5
S2,L1,G2,16,80%,,,Allophylus cobbe,2
S12,L2,G3,4,75%,,,Antidesma montana,32
S12,L2,G3,10,70%,,,Antidesma montana,1.5
S12,L2,G3,10,70%,,,Antidesma montana,1.1
S2,L1,G2,9,80%,,,Antidesma montana,13
S2,L1,G2,9,80%,,,Antidesma montana,19
S2,L1,G2,16,80%,,,Antidesma montana,2
S3,L1,G2,1,60%,,,Aphanamixis polystachya,6
S3,L1,G2,3,60%,,,Aphanamixis polystachya,1.3
S3,L1,G2,3,60%,,,Aphanamixis polystachya,1.2
S3,L1,G2,10,70%,,,Aphanamixis polystachya,2
S5,L2,G2,6,76%,,,Aphanamixis polystachya,4
S5,L2,G2,16,75%,,,Aphanamixis polystachya,7
S13,L1,G2,11,50%,,,Apodytes dimidiata,1.2
S18,L1,G2,7,60%,,,Ardisia solanacea,1.2
S18,L1,G2,10,65%,,,Ardisia solanacea,1.1
S18,L1,G2,14,60%,,,Ardisia solanacea,0.5
S19,L1,G2,16,70%,,,Artocarpus gomezianus,1.2
S18,L1,G2,9,60%,,,Artocarpus gomezianus,2.6
S18,L1,G2,9,60%,,,Artocarpus gomezianus,1.3
S18,L1,G2,12,55%,,,Artocarpus gomezianus,0.7
S18,L1,G2,13,57%,,,Artocarpus gomezianus,1
S12,L2,G3,7,70%,,,Artocarpus heterophyllus,0.5
S5,L2,G2,9,80%,,,Artocarpus heterophyllus,263
S5,L2,G2,9,80%,,,Artocarpus heterophyllus,68
S13,L1,G2,8,55%,,,Atalantia sp.,3
S13,L1,G2,9,40%,,,Atalantia sp.,1
S13,L1,G2,12,60%,,,Atalantia sp.,1
S13,L1,G2,12,60%,,,Atalantia sp.,1.1
S13,L1,G2,12,60%,,,Atalantia sp.,1.1
S19,L1,G2,1,70%,,,Atalantia sp.,3
S19,L1,G2,1,70%,,,Atalantia sp.,2
S19,L1,G2,1,70%,,,Atalantia sp.,3
S19,L1,G2,1,70%,,,Atalantia sp.,1
S19,L1,G2,1,70%,,,Atalantia sp.,0.5
S19,L1,G2,1,70%,,,Atalantia sp.,2
S19,L1,G2,2,75%,1 Net,2 Plots,Atalantia sp.,1.2
S19,L1,G2,2,75%,1 Net,2 Plots,Atalantia sp.,2
S19,L1,G2,4,70%,,,Atalantia sp.,2
S19,L1,G2,10,65%,,1 Plot,Atalantia sp.,1.5
